ipca,spread_pf,spread_pj,spread_tot,selic,cdi,dolar_ptax,rendimento_medio_mensal_reais,tx_informalidade_p14m_ocupadas_pct,pessoas_14mais_mil,p14m_forca_trabalho_mil,p14m_ocupadas_mil,p14m_desocupadas_mil,p14m_fora_forca_trabalho_mil,tx_foca_trabalho_p14m_pct,tx_desocupacao_p14m_pct,insolacao_total_h,precipitacao_total_mm,temp_max_media_c,umidade_media_pct,selic_lag_3,selic_lag_6,selic_lag_12,ipca_lag_3,ipca_lag_6,ipca_lag_12,tx_desocupacao_p14m_pct_lag_3,tx_desocupacao_p14m_pct_lag_6,tx_desocupacao_p14m_pct_lag_12,rendimento_medio_mensal_reais_lag_3,rendimento_medio_mensal_reais_lag_6,rendimento_medio_mensal_reais_lag_12,dolar_ptax_lag_3,dolar_ptax_lag_6,dolar_ptax_lag_12,mes,trimestre,flag_safra,inad_anterior
0.29,24.86,9.34,18.7,0.02462,0.02462,3.723625,2220.0,40.5,165581.0,104641.0,91203.0,13439.0,60939.0,63.2,12.8,166.8,190.33,31.79,78.11,0.02462,0.02462,0.0258100555555555,-1.0,0.12,0.55,11.7,12.0,13.2,2141.0,2141.0,2141.0,3.786665,3.9297565217391295,3.2415000000000003,2,1,1,3.34
0.75,25.33,9.18,18.92,0.02462,0.02462,3.846484210526316,2220.0,40.5,165581.0,104641.0,91203.0,13439.0,60939.0,63.2,12.8,180.94,212.9,31.27,79.18,0.02462,0.02462,0.0252857142857142,-0.89,0.96,0.23,11.7,12.0,13.2,2141.0,2141.0,2141.0,3.885055,4.1165473684210525,3.2792142857142856,3,1,1,3.3
1.03,25.31,9.26,18.99,0.02462,0.02462,3.896157142857143,2220.0,40.9,165934.0,105460.0,92662.0,12797.0,60475.0,63.6,12.1,181.98,171.57,30.79,80.31,0.02462,0.02462,0.02462,0.05,0.54,0.6,12.8,11.7,12.6,2220.0,2141.0,2141.0,3.7416818181818186,3.758409090909091,3.407495238095238,4,2,1,3.36
1.16,25.21,9.12,18.87,0.02462,0.02462,4.001518181818182,2220.0,40.9,165934.0,105460.0,92662.0,12797.0,60475.0,63.6,12.1,195.12,119.39,30.09,78.69,0.02462,0.02462,0.02462,0.29,-1.0,1.37,12.8,11.7,12.6,2220.0,2141.0,2141.0,3.723625,3.786665,3.636057142857143,5,2,1,3.36
-0.19,25.71,8.88,19.15,0.02462,0.02462,3.8588263157894738,2220.0,40.9,165934.0,105460.0,92662.0,12797.0,60475.0,63.6,12.1,202.88,72.52,29.59,74.57,0.02462,0.02462,0.02462,0.75,-0.89,2.49,12.8,11.7,12.6,2220.0,2141.0,2141.0,3.846484210526316,3.885055,3.773171428571428,6,2,0,3.41
0.4,25.68,9.4,19.37,0.02462,0.02462,3.779339130434783,2220.0,41.0,166301.0,105771.0,93191.0,12581.0,60530.0,63.6,11.9,217.59,67.27,28.63,72.31,0.02462,0.02462,0.02462,1.03,0.05,0.89,12.1,12.8,12.0,2220.0,2220.0,2141.0,3.896157142857143,3.7416818181818186,3.828763636363637,7,3,0,3.35
0.6,25.91,9.24,19.53,0.022751,0.022751,4.019981818181818,2220.0,41.0,166301.0,105771.0,93191.0,12581.0,60530.0,63.6,11.9,232.62,42.43,30.02,67.71,0.02462,0.02462,0.02462,1.16,0.29,0.12,12.1,12.8,12.0,2220.0,2220.0,2141.0,4.001518181818182,3.723625,3.9297565217391295,8,3,0,3.44
0.12,25.31,8.6,18.91,0.0220351904761904,0.0220351904761904,4.1215,2220.0,41.0,166301.0,105771.0,93191.0,12581.0,60530.0,63.6,11.9,226.26,47.5,32.09,65.7,0.02462,0.02462,0.02462,-0.19,0.75,0.96,12.1,12.8,12.0,2220.0,2220.0,2141.0,3.8588263157894738,3.846484210526316,4.1165473684210525,9,3,0,3.48
-0.11,24.87,8.99,18.8,0.0207899565217391,0.0207899565217391,4.086986956521739,2220.0,40.7,166670.0,105617.0,93920.0,11698.0,61053.0,63.4,11.1,226.66,84.26,32.48,68.35,0.02462,0.02462,0.02462,0.4,1.03,0.54,11.9,12.1,11.7,2220.0,2220.0,2141.0,3.779339130434783,3.896157142857143,3.758409090909091,10,4,0,3.54
0.97,25.2,8.75,18.94,0.018985,0.018985,4.155345,2220.0,40.7,166670.0,105617.0,93920.0,11698.0,61053.0,63.4,11.1,207.98,115.85,32.47,71.09,0.022751,0.02462,0.02462,0.6,1.16,-1.0,11.9,12.1,11.7,2220.0,2220.0,2141.0,4.019981818181818,4.001518181818182,3.786665,11,4,0,3.53
0.35,23.81,8.33,17.91,0.0178112857142857,0.0178112857142857,4.109590476190476,2220.0,40.7,166670.0,105617.0,93920.0,11698.0,61053.0,63.4,11.1,214.42,133.17,32.43,72.58,0.0220351904761904,0.02462,0.02462,0.12,-0.19,-0.89,11.9,12.1,11.7,2220.0,2220.0,2141.0,4.1215,3.8588263157894738,3.885055,12,4,0,3.54
0.51,23.75,9.71,18.45,0.017089,0.017089,4.149463636363636,2213.0,39.6,167036.0,104448.0,91523.0,12925.0,62588.0,62.5,12.4,174.58,235.66,31.66,78.45,0.0207899565217391,0.02462,0.02462,-0.11,0.4,0.05,11.1,11.9,12.8,2220.0,2220.0,2220.0,4.086986956521739,3.779339130434783,3.7416818181818186,1,1,0,3.51
-0.28,24.5,8.98,18.65,0.0162956666666666,0.0162956666666666,4.341011111111111,2213.0,39.6,167036.0,104448.0,91523.0,12925.0,62588.0,62.5,12.4,161.58,208.46,31.23,80.08,0.018985,0.022751,0.02462,0.97,0.6,0.29,11.1,11.9,12.8,2220.0,2220.0,2220.0,4.155345,4.019981818181818,3.723625,2,1,1,3.57
-0.22,23.84,8.76,18.06,0.0153556363636363,0.0153556363636363,4.883854545454546,2213.0,39.6,167036.0,104448.0,91523.0,12925.0,62588.0,62.5,12.4,167.46,239.06,31.01,80.57,0.0178112857142857,0.0220351904761904,0.02462,0.35,0.12,0.75,11.1,11.9,12.8,2220.0,2220.0,2220.0,4.109590476190476,4.1215,3.846484210526316,3,1,1,3.66
-2.06,22.52,8.85,17.08,0.014227,0.014227,5.32558,2213.0,36.6,167391.0,95589.0,82610.0,12979.0,71802.0,57.1,13.6,173.17,172.01,30.11,80.37,0.017089,0.0207899565217391,0.02462,0.51,-0.11,1.03,12.4,11.1,12.1,2213.0,2220.0,2220.0,4.149463636363636,4.086986956521739,3.896157142857143,4,2,1,3.94
-1.02,22.06,8.28,16.53,0.0117773,0.0117773,5.643445,2213.0,36.6,167391.0,95589.0,82610.0,12979.0,71802.0,57.1,13.6,184.26,131.66,29.28,79.45,0.0162956666666666,0.018985,0.02462,-0.28,0.97,1.16,12.4,11.1,12.1,2213.0,2220.0,2220.0,4.341011111111111,4.155345,4.001518181818182,5,2,1,4.07
0.89,20.9,7.28,15.45,0.0101008571428571,0.0101008571428571,5.1966,2213.0,36.6,167391.0,95589.0,82610.0,12979.0,71802.0,57.1,13.6,195.87,77.89,29.27,76.41,0.0153556363636363,0.0178112857142857,0.02462,-0.22,0.35,-0.19,12.4,11.1,12.1,2213.0,2220.0,2220.0,4.883854545454546,4.109590476190476,3.8588263157894738,6,2,0,3.98
1.23,20.75,6.88,15.26,0.008442,0.008442,5.280191304347826,2213.0,38.1,167744.0,96267.0,81954.0,14313.0,71476.0,57.4,14.9,226.88,57.36,29.51,70.95,0.014227,0.017089,0.02462,-2.06,0.51,0.4,13.6,12.4,11.9,2213.0,2213.0,2220.0,5.32558,4.149463636363636,3.779339130434783,7,3,0,3.62
0.78,20.01,6.93,14.81,0.0076079999999999,0.0076079999999999,5.461233333333333,2213.0,38.1,167744.0,96267.0,81954.0,14313.0,71476.0,57.4,14.9,235.6,36.21,30.53,66.05,0.0117773,0.0162956666666666,0.022751,-1.02,-0.28,0.6,13.6,12.4,11.9,2213.0,2213.0,2220.0,5.643445,4.341011111111111,4.019981818181818,8,3,0,3.46
